session_id,agent_name,trial_id,condition_id,scenario_id,map_id,policy_id,method,mode,difficulty_level,random_seed,start_time_iso,end_time_iso,success,end_reason,duration_sec,planning_time_sec,travel_distance_m,shortest_path_m,path_efficiency,collision_count,obstacle_collision_count,stuck_count,replan_count,replan_time_sec,raw_waypoints,sent_waypoints,sent_path_length_m,final_target_error_m,reached_by_error,cumulative_reward,steps,start_x,start_z,start_yaw,target_x,target_z,end_x,end_z,end_yaw
"20260703_120045","go1",0,"C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-03T12:00:47.5832586+09:00","2026-07-03T12:01:03.9782586+09:00",1,"goal_reached",16.394740,0.020000,9.625338,9.684342,0.986120,0,0,0,238,0.038895,6,2,9.684342,0.192607,1,0.000000,0,2.190139,4.529904,338.294300,6.437033,3.301169,6.256444,3.234197,89.346580
"20260703_120045","go1",1,"C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-03T12:01:04.5173409+09:00","2026-07-03T12:01:16.8253409+09:00",0,"agent_stopped",12.307750,0.094221,0.000000,3.428435,0.000000,0,0,1,0,0.000000,2,1,3.428435,3.428435,0,0.000000,0,1.598855,2.432601,166.367400,1.305239,5.848440,1.598855,2.432601,166.367400
"20260703_120045","go1",2,"C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-03T12:01:17.3272179+09:00","2026-07-03T12:01:31.5272179+09:00",0,"agent_stopped",14.199550,0.019445,0.000000,4.130820,0.000000,0,0,1,0,0.000000,3,1,4.130820,4.129673,0,0.000000,0,2.164135,4.551110,354.440500,2.766747,8.636579,2.164135,4.551110,354.440500
