session_id,agent_name,trial_id,mode,condition_id,scenario_id,map_id,policy_id,difficulty_level,evaluation_fixed_difficulty,agent_count,goal_min_distance,goal_max_distance,min_open_radius,start_x,start_z,start_yaw,target_x,target_z,target_straight_distance_m,random_seed,created_at_iso
"20260707_114933","go1",0,"evaluation","C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.766339,2.377976,338.294300,0.953725,6.832739,4.528273,121,"2026-07-07T11:49:47.8255262+09:00"
"20260707_114933","go1",1,"evaluation","C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.633930,3.948348,166.367400,4.742176,5.195923,3.349274,121,"2026-07-07T11:50:08.2214144+09:00"
"20260707_114933","go1",2,"evaluation","C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.324499,4.137201,354.440500,2.632069,8.343449,4.404799,121,"2026-07-07T11:50:23.5419574+09:00"
"20260707_114933","go1",3,"evaluation","C1_NAVMESH_ONLY","S04","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,4.609061,1.694436,182.513600,4.523440,5.285737,3.592321,121,"2026-07-07T11:50:33.7546874+09:00"
"20260707_114933","go1",4,"evaluation","C1_NAVMESH_ONLY","S05","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.709022,3.456327,10.586720,0.712719,6.911597,3.596041,121,"2026-07-07T11:50:44.5580546+09:00"
"20260707_114933","go1",5,"evaluation","C1_NAVMESH_ONLY","S06","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.312618,2.611408,198.659800,1.199818,6.772777,4.307588,121,"2026-07-07T11:50:57.1576655+09:00"
"20260707_114933","go1",6,"evaluation","C1_NAVMESH_ONLY","S07","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,6.052470,1.538625,26.732940,2.249527,3.538417,4.296689,121,"2026-07-07T11:51:30.8754726+09:00"
"20260707_114933","go1",7,"evaluation","C1_NAVMESH_ONLY","S08","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.720038,2.596169,214.806100,6.449614,3.361461,4.791091,121,"2026-07-07T11:52:00.9879656+09:00"
"20260707_114933","go1",8,"evaluation","C1_NAVMESH_ONLY","S18","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.783518,4.000104,42.879170,4.054360,7.286582,3.994704,121,"2026-07-07T11:52:45.0477397+09:00"
"20260707_114933","go1",9,"evaluation","C1_NAVMESH_ONLY","S19","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.425424,2.415050,230.952300,0.724210,6.932548,4.571596,121,"2026-07-07T11:52:58.1892186+09:00"
"20260707_114933","go1",10,"evaluation","C1_NAVMESH_ONLY","S20","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.273379,4.391210,59.025390,3.644643,8.153973,4.004841,121,"2026-07-07T11:53:12.8285640+09:00"
"20260707_114933","go1",11,"evaluation","C1_NAVMESH_ONLY","S21","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.957917,4.059141,247.098500,4.681383,5.331876,3.006181,121,"2026-07-07T11:53:32.4194724+09:00"
"20260707_114933","go1",12,"evaluation","C1_NAVMESH_ONLY","S22","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.423356,1.948172,75.171620,5.108592,0.845794,3.846583,121,"2026-07-07T11:54:08.4229862+09:00"
"20260707_114933","go1",13,"evaluation","C1_NAVMESH_ONLY","S23","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,5.038062,2.890641,263.244700,1.310279,5.748411,4.697150,121,"2026-07-07T11:54:30.5780084+09:00"
"20260707_114933","go1",14,"evaluation","C1_NAVMESH_ONLY","S24","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.384719,4.933732,91.317850,2.111588,1.411166,3.596777,121,"2026-07-07T11:54:40.9158477+09:00"
"20260707_114933","go1",15,"evaluation","C1_NAVMESH_ONLY","S25","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.709368,2.669003,279.391000,2.288167,5.971076,3.352417,121,"2026-07-07T11:54:50.5590462+09:00"
