session_id,agent_name,trial_id,condition_id,scenario_id,time_sec,obstacle_name,center_x,center_z,size_x,size_z,distance_to_path_m,block_threshold_m,closest_segment,path_blocked,replan_requested,replan_skip_reason,replan_count
"20260707_114933","go1",0,"C1_NAVMESH_ONLY","S01",0.721427,"EXP_C3_REPLAN_S01_A1",1.325827,5.474892,0.542812,0.542812,0.000000,0.521406,-1,1,1,"",0
"20260707_114933","go1",1,"C1_NAVMESH_ONLY","S02",0.655663,"EXP_C3_REPLAN_S02_A1",2.788732,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_114933","go1",2,"C1_NAVMESH_ONLY","S03",2.953281,"EXP_C3_REPLAN_S03_A7",2.009973,6.160179,0.608653,0.608653,0.000000,0.554327,-1,1,1,"",0
"20260707_114933","go1",3,"C1_NAVMESH_ONLY","S04",0.651859,"EXP_C3_REPLAN_S04_A1",4.563901,3.588645,0.491304,0.491304,0.000000,0.495652,-1,1,1,"",0
"20260707_114933","go1",4,"C1_NAVMESH_ONLY","S05",0.657795,"EXP_C3_REPLAN_S05_A2",1.433436,5.060813,0.554328,0.554327,0.000000,0.527164,-1,1,1,"",0
"20260707_114933","go1",5,"C1_NAVMESH_ONLY","S06",1.236687,"EXP_C3_REPLAN_S06_A2",1.630314,5.162916,0.587707,0.587708,0.000000,0.543854,-1,1,1,"",0
"20260707_114933","go1",6,"C1_NAVMESH_ONLY","S07",1.214493,"EXP_C3_REPLAN_S07_A2",4.384807,6.253923,0.596142,0.596142,0.000000,0.548071,-1,1,1,"",0
"20260707_114933","go1",7,"C1_NAVMESH_ONLY","S08",1.213516,"EXP_C3_REPLAN_S08_A2",4.313134,6.497043,0.596142,0.596142,0.000000,0.548071,-1,1,1,"",0
"20260707_114933","go1",8,"C1_NAVMESH_ONLY","S18",30.291670,"EXP_C3_REPLAN_S18_A4",2.991616,7.237929,0.501450,0.501450,0.000000,0.500725,-1,1,1,"",0
"20260707_114933","go1",9,"C1_NAVMESH_ONLY","S19",0.625000,"EXP_C3_REPLAN_S19_A1",1.281487,4.660119,0.509728,0.509728,0.000000,0.504864,-1,1,1,"",0
"20260707_114933","go1",10,"C1_NAVMESH_ONLY","S20",2.873215,"EXP_C3_REPLAN_S20_A7",2.400404,6.268705,0.568336,0.568337,0.000000,0.534168,-1,1,1,"",0
"20260707_114933","go1",11,"C1_NAVMESH_ONLY","S21",1.189819,"EXP_C3_REPLAN_S21_A2",3.099487,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_114933","go1",12,"C1_NAVMESH_ONLY","S22",1.758804,"EXP_C3_REPLAN_S22_A3",4.354429,6.152156,0.578181,0.578181,0.000000,0.539091,-1,1,1,"",0
"20260707_114933","go1",13,"C1_NAVMESH_ONLY","S23",0.637512,"EXP_C3_REPLAN_S23_A1",4.209944,6.758566,0.578182,0.578181,0.000000,0.539091,-1,1,1,"",0
"20260707_114933","go1",14,"C1_NAVMESH_ONLY","S24",0.626099,"EXP_C3_REPLAN_S24_A1",1.882203,2.522814,0.567099,0.567099,0.000000,0.533550,-1,1,1,"",0
"20260707_114933","go1",15,"C1_NAVMESH_ONLY","S25",0.631836,"EXP_C3_REPLAN_S25_A1",2.008763,4.377066,0.555665,0.555665,0.000000,0.527833,-1,1,1,"",0
"20260707_114933","go1",16,"C1_NAVMESH_ONLY","S26",0.630676,"EXP_C3_REPLAN_S26_A4",1.436461,5.197328,0.534818,0.534818,0.000000,0.517409,-1,1,1,"",0
"20260707_114933","go1",17,"C1_NAVMESH_ONLY","S27",1.200500,"EXP_C3_REPLAN_S27_A2",4.355909,6.145946,0.578181,0.578181,0.000000,0.539091,-1,1,1,"",0
"20260707_114933","go1",18,"C1_NAVMESH_ONLY","S28",0.634430,"EXP_C3_REPLAN_S28_A1",2.177473,5.181190,0.565366,0.565366,0.000001,0.532683,-1,1,1,"",0
"20260707_114933","go1",19,"C1_NAVMESH_ONLY","S29",1.754547,"EXP_C3_REPLAN_S29_A3",3.212981,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_114933","go1",20,"C1_NAVMESH_ONLY","S30",0.626373,"EXP_C3_REPLAN_S30_A4",1.415001,5.385095,0.553655,0.553655,0.000000,0.526828,-1,1,1,"",0
"20260707_114933","go1",21,"C1_NAVMESH_ONLY","S01",0.628754,"EXP_C3_REPLAN_S01_A1",3.265427,7.289697,0.527390,0.527390,0.000000,0.513695,-1,1,1,"",0
"20260707_114933","go1",22,"C1_NAVMESH_ONLY","S02",0.831574,"EXP_C3_REPLAN_S02_A1",3.402996,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
