session_id,agent_name,trial_id,condition_id,scenario_id,map_id,policy_id,method,mode,difficulty_level,random_seed,start_time_iso,end_time_iso,success,end_reason,duration_sec,planning_time_sec,travel_distance_m,shortest_path_m,path_efficiency,collision_count,obstacle_collision_count,stuck_count,replan_count,replan_time_sec,raw_waypoints,sent_waypoints,sent_path_length_m,final_target_error_m,reached_by_error,cumulative_reward,steps,start_x,start_z,start_yaw,target_x,target_z,end_x,end_z,end_yaw
"20260707_115743","go1",0,"C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:57:46.1555946+09:00","2026-07-07T11:57:55.6225946+09:00",1,"goal_reached",9.466601,0.016770,3.237136,3.434278,0.999576,0,0,0,0,0.000000,2,1,3.434278,0.198514,1,0.000000,0,2.200044,4.370561,338.294300,1.471821,1.284829,1.637511,1.394165,326.580000
"20260707_115743","go1",1,"C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:57:57.3804795+09:00","2026-07-07T11:58:20.3844795+09:00",1,"goal_reached",23.004050,0.033479,8.427910,8.612303,0.998629,0,0,0,0,0.000000,4,1,8.612303,0.195947,1,0.000000,0,1.688227,3.136780,166.367400,4.942731,5.007473,4.872951,5.190574,249.138000
"20260707_115743","go1",2,"C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:58:23.3162655+09:00","2026-07-07T11:58:35.1462655+09:00",1,"goal_reached",11.830460,0.018608,4.036911,4.230642,0.998522,0,0,0,0,0.000000,2,1,4.230642,0.199698,1,0.000000,0,2.015650,4.339870,354.440500,2.774133,8.276126,2.705045,8.088759,110.240500
"20260707_115743","go1",3,"C1_NAVMESH_ONLY","S04","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:58:36.8999924+09:00","2026-07-07T11:59:02.9839924+09:00",1,"goal_reached",26.084020,0.034645,9.073250,9.261959,0.999377,0,0,0,0,0.000000,4,1,9.261959,0.194365,1,0.000000,0,1.371716,4.406021,182.513600,5.128542,2.977454,5.109815,3.170915,264.471100
"20260707_115743","go1",4,"C1_NAVMESH_ONLY","S05","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:59:04.2313504+09:00","2026-07-07T11:59:20.8373504+09:00",1,"goal_reached",16.605700,0.019981,5.322153,5.509173,0.998616,0,0,0,0,0.000000,5,1,5.509173,0.194389,1,0.000000,0,2.144458,4.230597,10.586720,4.598211,6.752441,4.458776,6.887886,224.168500
"20260707_115743","go1",5,"C1_NAVMESH_ONLY","S06","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:59:23.2217246+09:00","2026-07-07T11:59:37.2507246+09:00",1,"goal_reached",14.029430,0.018295,4.905446,5.098485,0.999063,0,0,0,0,0.000000,3,1,5.098485,0.197635,1,0.000000,0,1.900982,4.012213,198.659800,3.123399,8.720152,3.038600,8.541635,115.408700
"20260707_115743","go1",6,"C1_NAVMESH_ONLY","S07","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:59:38.4685586+09:00","2026-07-07T12:00:00.8965586+09:00",1,"goal_reached",22.427610,0.035179,7.747465,7.931844,0.998264,0,0,0,0,0.000000,5,1,7.931844,0.197829,1,0.000000,0,1.961238,2.807128,26.732940,4.516253,5.497969,4.471745,5.690726,256.998400
"20260707_115743","go1",7,"C1_NAVMESH_ONLY","S08","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T12:00:04.3993861+09:00","2026-07-07T12:00:17.6483861+09:00",1,"goal_reached",13.248520,0.015945,4.498408,4.697938,1.000000,0,0,0,0,0.000000,3,1,4.697938,0.198306,1,0.000000,0,1.562698,4.403443,214.806100,2.370396,8.643927,2.360249,8.445881,92.932940
"20260707_115743","go1",8,"C1_NAVMESH_ONLY","S09","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T12:00:18.8514150+09:00","2026-07-07T12:00:27.7844150+09:00",1,"goal_reached",8.933212,0.017471,3.025182,3.222408,0.999958,0,0,0,0,0.000000,2,1,3.222408,0.197354,1,0.000000,0,1.439714,4.975353,42.879170,1.734243,1.969791,1.804564,2.154192,290.874300
"20260707_115743","go1",9,"C1_NAVMESH_ONLY","S10","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T12:00:29.0043574+09:00","2026-07-07T12:00:47.3493574+09:00",1,"goal_reached",18.345050,0.033081,6.261692,6.451441,0.998656,0,0,0,0,0.000000,5,1,6.451441,0.198167,1,0.000000,0,2.274404,4.332701,230.952300,5.559064,7.470378,5.360970,7.475725,181.546300
"20260707_115743","go1",10,"C1_NAVMESH_ONLY","S11","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T12:00:49.7043041+09:00","2026-07-07T12:01:10.5173041+09:00",1,"goal_reached",20.812990,0.043335,7.112538,7.305748,0.999356,0,0,0,0,0.000000,4,1,7.305748,0.197790,1,0.000000,0,1.446959,3.672164,59.025390,4.935472,5.546769,4.848356,5.724340,243.867500
"20260707_115743","go1",11,"C1_NAVMESH_ONLY","S12","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T12:01:12.8940310+09:00","2026-07-07T12:01:30.4860310+09:00",1,"goal_reached",17.592120,0.039627,6.023061,6.214497,0.999345,0,0,0,0,0.000000,4,1,6.214497,0.195379,1,0.000000,0,1.851683,4.896574,247.098500,5.842567,7.493282,5.647199,7.495354,180.607600
"20260707_115743","go1",12,"C1_NAVMESH_ONLY","S13","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T12:01:31.7038597+09:00","2026-07-07T12:02:03.9208597+09:00",1,"goal_reached",32.216750,0.035522,11.347490,11.531750,0.998795,0,0,0,0,0.000000,5,1,11.531750,0.197928,1,0.000000,0,1.581133,2.953357,75.171620,6.449317,3.376356,6.272274,3.464851,206.558300
