session_id,agent_name,trial_id,mode,condition_id,scenario_id,map_id,policy_id,difficulty_level,evaluation_fixed_difficulty,agent_count,goal_min_distance,goal_max_distance,min_open_radius,start_x,start_z,start_yaw,target_x,target_z,target_straight_distance_m,random_seed,created_at_iso
"20260707_115743","go1",0,"evaluation","C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.200044,4.370561,338.294300,1.471821,1.284829,3.170496,121,"2026-07-07T11:57:55.6225946+09:00"
"20260707_115743","go1",1,"evaluation","C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.688227,3.136780,166.367400,4.942731,5.007473,3.753837,121,"2026-07-07T11:58:20.3814523+09:00"
"20260707_115743","go1",2,"evaluation","C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.015650,4.339870,354.440500,2.774133,8.276126,4.008666,121,"2026-07-07T11:58:35.1447521+09:00"
"20260707_115743","go1",3,"evaluation","C1_NAVMESH_ONLY","S04","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.371716,4.406021,182.513600,5.128542,2.977454,4.019272,121,"2026-07-07T11:59:02.9824878+09:00"
"20260707_115743","go1",4,"evaluation","C1_NAVMESH_ONLY","S05","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.144458,4.230597,10.586720,4.598211,6.752441,3.518608,121,"2026-07-07T11:59:20.8347965+09:00"
"20260707_115743","go1",5,"evaluation","C1_NAVMESH_ONLY","S06","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.900982,4.012213,198.659800,3.123399,8.720152,4.864051,121,"2026-07-07T11:59:37.2492147+09:00"
"20260707_115743","go1",6,"evaluation","C1_NAVMESH_ONLY","S07","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.961238,2.807128,26.732940,4.516253,5.497969,3.710624,121,"2026-07-07T12:00:00.8940316+09:00"
"20260707_115743","go1",7,"evaluation","C1_NAVMESH_ONLY","S08","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.562698,4.403443,214.806100,2.370396,8.643927,4.316721,121,"2026-07-07T12:00:17.6468810+09:00"
"20260707_115743","go1",8,"evaluation","C1_NAVMESH_ONLY","S09","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,1.439714,4.975353,42.879170,1.734243,1.969791,3.019958,121,"2026-07-07T12:00:27.7833622+09:00"
"20260707_115743","go1",9,"evaluation","C1_NAVMESH_ONLY","S10","fullmap","NavMeshOnly",0,1,0,3.000000,10.000000,0.500000,2.274404,4.332701,230.952300,5.559064,7.470378,4.542468,121,"2026-07-07T12:00:47.3478483+09:00"
