session_id,agent_name,trial_id,condition_id,scenario_id,time_sec,state,virtual_x,virtual_z,virtual_yaw,real_x,real_z,real_yaw,path_cross_track_error_m,target_distance_m
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",0.000000,"idle",-20.127660,63.978230,320.948900,-20.127660,63.978230,320.948900,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",0.400000,"idle",-20.127660,63.978230,320.948900,-20.127660,63.978230,320.948900,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",3.450354,"idle",-20.127660,63.978230,320.948900,-20.127660,63.978230,320.948900,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",8.418294,"idle",-20.127660,63.978230,320.948900,-20.127660,63.978230,320.948900,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",15.084960,"idle",-20.127660,63.978230,221.516200,-20.127660,63.978230,221.516200,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",21.751630,"idle",-20.127660,63.978230,162.804700,-20.127660,63.978230,162.804700,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",28.418290,"idle",-20.127660,63.978230,162.804700,-20.127660,63.978230,162.804700,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",35.084960,"idle",-20.127660,63.978230,265.980200,-20.127660,63.978230,265.980200,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",48.418300,"idle",-20.127660,63.978230,322.200400,-20.127660,63.978230,322.200400,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",55.084960,"idle",-20.127660,63.978230,72.124180,-20.127660,63.978230,72.124180,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",61.751630,"idle",-20.127660,63.978230,175.578200,-20.127660,63.978230,175.578200,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",68.418300,"idle",-20.127660,63.978230,175.578200,-20.127660,63.978230,175.578200,-1.000000,0.000000
"20260629_132033","go1 (1)",1,"C2_NO_REPLAN","S01",75.084960,"idle",-20.127660,63.978230,251.208200,-20.127660,63.978230,251.208200,-1.000000,0.000000
