session_id,agent_name,trial_id,mode,condition_id,scenario_id,map_id,policy_id,difficulty_level,evaluation_fixed_difficulty,agent_count,goal_min_distance,goal_max_distance,min_open_radius,start_x,start_z,start_yaw,target_x,target_z,target_straight_distance_m,random_seed,created_at_iso
"20260701_192145","go1",0,"evaluation","C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,1.870463,4.519757,338.294300,2.248761,1.529253,3.014337,121,"2026-07-01T19:21:59.2854328+09:00"
"20260701_192145","go1",1,"evaluation","C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,1.475586,2.483353,166.367400,2.305731,5.822625,3.440912,121,"2026-07-01T19:22:12.0767137+09:00"
"20260701_192145","go1",2,"evaluation","C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,5.597212,1.368307,354.440500,1.662483,2.998802,4.259179,121,"2026-07-01T19:22:39.3340779+09:00"
"20260701_192145","go1",3,"evaluation","C1_NAVMESH_ONLY","S04","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,1.235609,4.532229,182.513600,3.313109,7.423814,3.560515,121,"2026-07-01T19:22:52.7243825+09:00"
"20260701_192145","go1",4,"evaluation","C1_NAVMESH_ONLY","S05","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,5.455060,1.349233,10.586720,2.813433,8.157142,7.302453,121,"2026-07-01T19:23:12.6821308+09:00"
"20260701_192145","go1",5,"evaluation","C1_NAVMESH_ONLY","S06","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,5.794097,1.123501,198.659800,1.920779,6.480432,6.610545,121,"2026-07-01T19:23:34.8435633+09:00"
"20260701_192145","go1",6,"evaluation","C1_NAVMESH_ONLY","S07","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,1.844594,4.428076,26.732940,5.111274,5.779239,3.535087,121,"2026-07-01T19:23:52.2903287+09:00"
"20260701_192145","go1",7,"evaluation","C1_NAVMESH_ONLY","S08","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,4.997820,6.305017,214.806100,1.480241,2.860696,4.923080,121,"2026-07-01T19:24:11.7635099+09:00"
"20260701_192145","go1",8,"evaluation","C1_NAVMESH_ONLY","S09","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,1.971021,2.971736,42.879170,1.296514,6.931601,4.016900,121,"2026-07-01T19:24:25.5424978+09:00"
"20260701_192145","go1",9,"evaluation","C1_NAVMESH_ONLY","S10","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,2.139916,3.132457,230.952300,5.676068,7.486799,5.609337,121,"2026-07-01T19:24:44.8107036+09:00"
"20260701_192145","go1",10,"evaluation","C1_NAVMESH_ONLY","S11","fullmap","NavMeshOnly",1,1,0,3.000000,10.000000,0.500000,1.539042,3.691935,59.025390,2.364890,8.633971,5.010563,121,"2026-07-01T19:25:00.2686711+09:00"
