session_id,agent_name,trial_id,condition_id,scenario_id,map_id,policy_id,method,mode,difficulty_level,random_seed,start_time_iso,end_time_iso,success,end_reason,duration_sec,planning_time_sec,travel_distance_m,shortest_path_m,path_efficiency,collision_count,obstacle_collision_count,stuck_count,replan_count,replan_time_sec,raw_waypoints,sent_waypoints,sent_path_length_m,final_target_error_m,reached_by_error,cumulative_reward,steps,start_x,start_z,start_yaw,target_x,target_z,end_x,end_z,end_yaw
"20260701_192145","go1",0,"C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:21:47.6629430+09:00","2026-07-01T19:21:59.2869430+09:00",0,"agent_stopped",11.624320,0.000000,0.000000,3.014337,0.000000,0,0,1,0,0.000000,2,1,3.014337,3.014337,0,0.000000,0,1.870463,4.519757,338.294300,2.248761,1.529253,1.870463,4.519757,338.294300
"20260701_192145","go1",1,"C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:21:59.7967812+09:00","2026-07-01T19:22:12.0807812+09:00",0,"agent_stopped",12.283640,0.033082,0.000000,3.440912,0.000000,0,0,1,0,0.000000,2,1,3.440912,3.440912,0,0.000000,0,1.475586,2.483353,166.367400,2.305731,5.822625,1.475586,2.483353,166.367400
"20260701_192145","go1",2,"C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:22:12.5836576+09:00","2026-07-01T19:22:39.3366576+09:00",0,"agent_stopped",26.753030,0.063766,0.000000,11.864250,0.000000,0,0,1,0,0.000000,4,1,11.864250,4.259179,0,0.000000,0,5.597212,1.368307,354.440500,1.662483,2.998802,5.597212,1.368307,354.440500
"20260701_192145","go1",3,"C1_NAVMESH_ONLY","S04","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:22:39.8618936+09:00","2026-07-01T19:22:52.7258936+09:00",0,"agent_stopped",12.863580,0.032734,0.000000,3.755909,0.000000,0,0,1,0,0.000000,3,1,3.755909,3.560515,0,0.000000,0,1.235609,4.532229,182.513600,3.313109,7.423814,1.235609,4.532229,182.513600
"20260701_192145","go1",4,"C1_NAVMESH_ONLY","S05","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:22:53.3081488+09:00","2026-07-01T19:23:12.6851488+09:00",0,"agent_stopped",19.376590,0.039192,0.000000,7.616864,0.000000,0,0,1,0,0.000000,4,1,7.616864,7.302453,0,0.000000,0,5.455060,1.349233,10.586720,2.813433,8.157142,5.455060,1.349233,10.586720
"20260701_192145","go1",5,"C1_NAVMESH_ONLY","S06","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:23:13.2045633+09:00","2026-07-01T19:23:34.8435633+09:00",0,"agent_stopped",21.639050,0.022911,0.000000,8.831643,0.000000,0,0,1,0,0.000000,4,1,8.831643,6.610545,0,0.000000,0,5.794097,1.123501,198.659800,1.920779,6.480432,5.794097,1.123501,198.659800
"20260701_192145","go1",6,"C1_NAVMESH_ONLY","S07","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:23:35.3508340+09:00","2026-07-01T19:23:52.2918340+09:00",0,"agent_stopped",16.940880,0.062714,0.000000,6.152561,0.000000,0,0,1,0,0.000000,4,1,6.152561,3.535087,0,0.000000,0,1.844594,4.428076,26.732940,5.111274,5.779239,1.844594,4.428076,26.732940
"20260701_192145","go1",7,"C1_NAVMESH_ONLY","S08","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:23:52.8101032+09:00","2026-07-01T19:24:11.7661032+09:00",0,"agent_stopped",18.955860,0.040619,0.000000,7.282724,0.000000,0,0,1,0,0.000000,4,1,7.282724,4.923080,0,0.000000,0,4.997820,6.305017,214.806100,1.480241,2.860696,4.997820,6.305017,214.806100
"20260701_192145","go1",8,"C1_NAVMESH_ONLY","S09","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:24:12.2695222+09:00","2026-07-01T19:24:25.5455222+09:00",0,"agent_stopped",13.275530,0.023987,0.000000,4.016900,0.000000,0,0,1,0,0.000000,2,1,4.016900,4.016900,0,0.000000,0,1.971021,2.971736,42.879170,1.296514,6.931601,1.971021,2.971736,42.879170
"20260701_192145","go1",9,"C1_NAVMESH_ONLY","S10","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:24:26.0447199+09:00","2026-07-01T19:24:44.8117199+09:00",0,"agent_stopped",18.766630,0.062820,0.000000,7.211840,0.000000,0,0,1,0,0.000000,5,1,7.211840,5.609337,0,0.000000,0,2.139916,3.132457,230.952300,5.676068,7.486799,2.139916,3.132457,230.952300
"20260701_192145","go1",10,"C1_NAVMESH_ONLY","S11","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",1,121,"2026-07-01T19:24:45.3172054+09:00","2026-07-01T19:25:00.2702054+09:00",0,"agent_stopped",14.952850,0.033615,0.000000,5.026959,0.000000,0,0,1,0,0.000000,3,1,5.026959,5.010563,0,0.000000,0,1.539042,3.691935,59.025390,2.364890,8.633971,1.539042,3.691935,59.025390
