session_id,agent_name,trial_id,condition_id,scenario_id,time_sec,state,virtual_x,virtual_z,virtual_yaw,real_x,real_z,real_yaw,path_cross_track_error_m,target_distance_m
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",0.000000,"idle",-20.127660,63.978230,302.179300,-20.127660,63.978230,302.179300,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",0.400000,"idle",-20.127660,63.978230,302.179300,-20.127660,63.978230,302.179300,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",3.471076,"idle",-20.127660,63.978230,302.179300,-20.127660,63.978230,302.179300,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",10.137740,"idle",-20.127660,63.978230,357.120300,-20.127660,63.978230,357.120300,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",16.804410,"idle",-20.127660,63.978230,357.120300,-20.127660,63.978230,357.120300,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",23.471080,"idle",-20.127660,63.978230,278.777000,-20.127660,63.978230,278.777000,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",36.804410,"idle",-20.127660,63.978230,132.416000,-20.127660,63.978230,132.416000,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",43.471080,"idle",-20.127660,63.978230,176.918600,-20.127660,63.978230,176.918600,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",50.137740,"idle",-20.127660,63.978230,248.772800,-20.127660,63.978230,248.772800,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",56.804410,"idle",-20.127660,63.978230,248.772800,-20.127660,63.978230,248.772800,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",63.471080,"idle",-20.127660,63.978230,196.650400,-20.127660,63.978230,196.650400,-1.000000,0.000000
"20260629_131352","go1 (1)",1,"C2_NO_REPLAN","S01",70.137750,"idle",-20.127660,63.978230,138.135900,-20.127660,63.978230,138.135900,-1.000000,0.000000
