session_id,agent_name,trial_id,condition_id,scenario_id,time_sec,state,virtual_x,virtual_z,virtual_yaw,real_x,real_z,real_yaw,path_cross_track_error_m,target_distance_m
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",0.000000,"idle",-20.127660,63.978230,53.472310,-20.127660,63.978230,53.472310,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",0.400000,"idle",-20.127660,63.978230,53.472310,-20.127660,63.978230,53.472310,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",2.877852,"idle",-20.127660,63.978230,53.472310,-20.127660,63.978230,53.472310,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",6.934758,"idle",-20.127660,63.978230,53.472310,-20.127660,63.978230,53.472310,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",13.457510,"idle",-20.127660,63.978230,39.851870,-20.127660,63.978230,39.851870,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",20.124180,"idle",-20.127660,63.978230,100.076800,-20.127660,63.978230,100.076800,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",26.790840,"idle",-20.127660,63.978230,100.076800,-20.127660,63.978230,100.076800,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",33.457510,"idle",-20.127660,63.978230,44.821820,-20.127660,63.978230,44.821820,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",40.124180,"idle",-20.127660,63.978230,270.882300,-20.127660,63.978230,270.882300,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",46.790840,"idle",-20.127660,63.978230,270.882300,-20.127660,63.978230,270.882300,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",53.457510,"idle",-20.127660,63.978230,357.647300,-20.127660,63.978230,357.647300,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",60.124180,"idle",-20.127660,63.978230,232.691300,-20.127660,63.978230,232.691300,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",66.790850,"idle",-20.127660,63.978230,232.691300,-20.127660,63.978230,232.691300,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",73.457510,"idle",-20.127660,63.978230,359.810800,-20.127660,63.978230,359.810800,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",80.124180,"idle",-20.127660,63.978230,331.093000,-20.127660,63.978230,331.093000,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",86.790850,"idle",-20.127660,63.978230,331.093000,-20.127660,63.978230,331.093000,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",93.457510,"idle",-20.127660,63.978230,12.130240,-20.127660,63.978230,12.130240,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",100.124200,"idle",-20.127660,63.978230,30.631730,-20.127660,63.978230,30.631730,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",106.790800,"idle",-20.127660,63.978230,30.631730,-20.127660,63.978230,30.631730,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",113.457500,"idle",-20.127660,63.978230,62.860600,-20.127660,63.978230,62.860600,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",120.124200,"idle",-20.127660,63.978230,354.791100,-20.127660,63.978230,354.791100,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",126.790800,"idle",-20.127660,63.978230,354.791100,-20.127660,63.978230,354.791100,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",133.457500,"idle",-20.127660,63.978230,26.827670,-20.127660,63.978230,26.827670,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",140.124200,"idle",-20.127660,63.978230,164.791700,-20.127660,63.978230,164.791700,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",146.790800,"idle",-20.127660,63.978230,164.791700,-20.127660,63.978230,164.791700,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",153.457500,"idle",-20.127660,63.978230,121.054500,-20.127660,63.978230,121.054500,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",160.124200,"idle",-20.127660,63.978230,323.823400,-20.127660,63.978230,323.823400,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",166.790800,"idle",-20.127660,63.978230,323.823400,-20.127660,63.978230,323.823400,-1.000000,0.000000
"20260629_131034","go1 (1)",1,"C2_NO_REPLAN","S01",173.457500,"idle",-20.127660,63.978230,319.238300,-20.127660,63.978230,319.238300,-1.000000,0.000000
